HMDB	Formula	Mass	InchiKey	Inchi	SMILES	HMDB Name
HMDB03361	C4H4N2	80.03744814	CZPWVGJYEJSRLH-UHFFFAOYSA-N	1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H	C1=CN=CN=C1	Pyrimidine
HMDB00228	C6H6O	94.04186481	ISWSIDIOOBJBQZ-UHFFFAOYSA-N	1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H	OC1=CC=CC=C1	Phenol
HMDB33871	C7H9N	107.0734993	WGQKYBSKWIADBV-UHFFFAOYSA-N	1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2	NCC1=CC=CC=C1	Benzylamine
HMDB00128	C3H7N3O2	117.0538265	BPMFZUMJYQTVII-UHFFFAOYSA-N	1S/C3H7N3O2/c4-3(5)6-1-2(7)8/h1H2,(H,7,8)(H4,4,5,6)	NC(=N)NCC(O)=O	Guanidoacetic acid
HMDB02994	C4H10O4	122.0579088	UNXHWFMMPAWVPI-ZXZARUISSA-N	1S/C4H10O4/c5-1-3(7)4(8)2-6/h3-8H,1-2H2/t3-,4+	OC[C@H](O)[C@H](O)CO	Erythritol
HMDB00491	C6H10O3	130.0629942	JVQYSWDUAOAHFM-UHFFFAOYSA-N	1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	CCC(C)C(=O)C(O)=O	3-Methyl-2-oxovaleric acid
HMDB00168	C4H8N2O3	132.0534921	DCXYFEDJOCDNAF-REOHCLBHSA-N	1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1	N[C@@H](CC(N)=O)C(O)=O	L-Asparagine
HMDB01494	C2H5O5P	139.9874598	LIPOUNRJVLNBCD-UHFFFAOYSA-N	1S/C2H5O5P/c1-2(3)7-8(4,5)6/h1H3,(H2,4,5,6)	CC(=O)OP(O)(O)=O	Acetylphosphate
HMDB02050	C4H4O6	148.0007879	KAPRQAPANAEVOD-UHFFFAOYSA-N	1S/C4H4O6/c5-1(3(7)8)2(6)4(9)10/h5,7-8H,(H,9,10)	OC(O)=C(O)C(=O)C(O)=O	Dihydroxyfumaric acid
HMDB00073	C8H11NO2	153.0789786	VYFYYTLLBUKUHU-UHFFFAOYSA-N	1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	NCCC1=CC=C(O)C(O)=C1	Dopamine
HMDB00802	C6H5N5O	163.0494098	HNXQXTQTPAJEJL-UHFFFAOYSA-N	1S/C6H5N5O/c7-6-10-4-3(5(12)11-6)8-1-2-9-4/h1-2H,(H3,7,9,10,11,12)	NC1=NC2=NC=CN=C2C(=O)N1	Pterin
HMDB00001	C7H11N3O2	169.0851266	BRMWTNUJHUMWMS-LURJTMIESA-N	1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1	CN1C=NC(C[C@H](N)C(O)=O)=C1	1-Methylhistidine
HMDB00904	C6H13N3O3	175.0956913	RHGKLRLOHDJJDR-BYPYZUCNSA-N	1S/C6H13N3O3/c7-4(5(10)11)2-1-3-9-6(8)12/h4H,1-3,7H2,(H,10,11)(H3,8,9,12)/t4-/m0/s1	N[C@@H](CCCNC(N)=O)C(O)=O	Citrulline
HMDB03345	C6H12O6	180.0633881	WQZGKKKJIJFFOK-DVKNGEFBSA-N	1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6+/m1/s1	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	Alpha-D-Glucose
HMDB00784	C9H16O4	188.104859	BDJRBEYXGGNYIS-UHFFFAOYSA-N	1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	OC(=O)CCCCCCCC(O)=O	Azelaic acid
HMDB00291	C9H10O5	198.0528234	CGQCWMIAEPEHNQ-QMMMGPOBSA-N	1S/C9H10O5/c1-14-7-4-5(2-3-6(7)10)8(11)9(12)13/h2-4,8,10-11H,1H3,(H,12,13)/t8-/m0/s1	COC1=C(O)C=CC(=C1)[C@H](O)C(O)=O	Vanillylmandelic acid
HMDB01238	C12H14N2O2	218.1055277	MVAWJSIDNICKHF-UHFFFAOYSA-N	1S/C12H14N2O2/c1-8(15)13-5-4-9-7-14-12-3-2-10(16)6-11(9)12/h2-3,6-7,14,16H,4-5H2,1H3,(H,13,15)	CC(=O)NCCC1=CNC2=C1C=C(O)C=C2	N-Acetylserotonin
HMDB00089	C9H13N3O5	243.0855205	UHDGCWIWMRVCDJ-XVFCMESISA-N	1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Cytidine
HMDB00050	C10H13N5O4	267.0967539	OIRDTQYFTABQOQ-KQYNXXCUSA-N	1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Adenosine
HMDB00269	C18H39NO2	301.2980795	OTKJDMGTUTTYMP-ZWKOTPCHSA-N	1S/C18H39NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17-18,20-21H,2-16,19H2,1H3/t17-,18+/m0/s1	CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO	Sphinganine
HMDB02068	C22H42O2	338.3184806	DPUOLQHDNGRHBS-KTKRTIGZSA-N	1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H,23,24)/b10-9-	CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O	Erucic acid
HMDB00244	C17H20N4O6	376.1382844	AUNGANRZJHBGPY-SCRDCRAPSA-N	1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	Riboflavin
HMDB00061	C10H15N5O10P2	427.0294147	WHTCPDAXWFLDIH-KQYNXXCUSA-N	1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7(25-27(20,21)22)4(24-10)1-23-26(17,18)19/h2-4,6-7,10,16H,1H2,(H2,11,12,13)(H2,17,18,19)(H2,20,21,22)/t4-,6-,7-,10-/m1/s1	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	Adenosine 3',5'-diphosphate
HMDB01532	C10H16N5O12P3	491.0008305	SUYVUBYJARFZHO-RRKCRQDMSA-N	1S/C10H16N5O12P3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(25-7)2-24-29(20,21)27-30(22,23)26-28(17,18)19/h3-7,16H,1-2H2,(H,20,21)(H,22,23)(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1	Deoxyadenosine triphosphate
HMDB03351	C16H25N5O16P2	605.0771528	MVMSCBBUIHUTGJ-LRJDVEEWSA-N	1S/C16H25N5O16P2/c17-16-19-12-6(13(28)20-16)18-3-21(12)14-10(26)8(24)5(34-14)2-33-38(29,30)37-39(31,32)36-15-11(27)9(25)7(23)4(1-22)35-15/h3-5,7-11,14-15,22-27H,1-2H2,(H,29,30)(H,31,32)(H3,17,19,20,28)/t4-,5-,7-,8-,9+,10-,11-,14-,15-/m1/s1	NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O	GDP-glucose
HMDB31407	C5H8O	84.05751488	BGTOWKSIORTVQH-UHFFFAOYSA-N	1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2	O=C1CCCC1	Cyclopentanone
HMDB13751	C5H5NO	95.03711379	UBQKCCHYAOITMY-UHFFFAOYSA-N	1S/C5H5NO/c7-5-3-1-2-4-6-5/h1-4H,(H,6,7)	OC1=CC=CC=N1	2-Hydroxypyridine
HMDB03119	C7H8O	108.0575149	WVDDGKGOMKODPV-UHFFFAOYSA-N	1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2	OCC1=CC=CC=C1	Benzyl alcohol
HMDB00738	C8H7N	117.0578492	SIKJAQJRHWYJAI-UHFFFAOYSA-N	1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H	N1C=CC2=C1C=CC=C2	Indole
HMDB32619	C8H10O	122.0731649	WAPNOHKVXSQRPX-UHFFFAOYNA-N	1/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3	CC(O)C1=CC=CC=C1	1-Phenylethanol
HMDB00695	C6H10O3	130.0629942	BKAJNAXTPSGJCU-UHFFFAOYSA-N	1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)	CC(C)CC(=O)C(O)=O	Ketoleucine
HMDB03441	C9H8O	132.0575149	KJPRLNWUNMBNBZ-QPJJXVBHSA-N	1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+	O=C\C=C\C1=CC=CC=C1	Cinnamaldehyde
HMDB01096	CH4NO5P	140.9827088	FFQKYPRQEYGKAF-UHFFFAOYSA-N	1S/CH4NO5P/c2-1(3)7-8(4,5)6/h(H2,2,3)(H2,4,5,6)	NC(=O)OP(O)(O)=O	Carbamoyl phosphate
HMDB00426	C5H8O5	148.0371734	XFTRTWQBIOMVPK-UHFFFAOYSA-N	1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)	CC(O)(CC(O)=O)C(O)=O	Citramalic acid
HMDB04825	C8H11NO2	153.0789786	QHGUCRYDKWKLMG-QMMMGPOBSA-N	1S/C8H11NO2/c9-5-8(11)6-1-3-7(10)4-2-6/h1-4,8,10-11H,5,9H2/t8-/m0/s1	NC[C@H](O)C1=CC=C(O)C=C1	p-Octopamine
HMDB00205	C9H8O3	164.0473441	BTNMPGBKDVTSJY-UHFFFAOYSA-N	1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)	OC(=O)C(=O)CC1=CC=CC=C1	Phenylpyruvic acid
